iter	RMSE
0	14.90277227
1	13.99723628
2	13.32596998
3	12.70138767
4	12.16089285
5	11.49046026
6	11.0375477
7	10.61491402
8	10.14914852
9	9.765811815
10	9.381168128
11	9.027720445
12	8.627333074
13	8.261248408
14	7.931590684
15	7.654986451
16	7.455836681
17	7.249520516
18	7.04812889
19	6.831776272
20	6.622695983
21	6.446195567
22	6.298761456
23	6.157079737
24	6.013077334
25	5.888891811
26	5.766630994
27	5.672358089
28	5.590146888
29	5.497939461
30	5.425879941
31	5.358020428
32	5.267758778
33	5.250326252
34	5.208970519
35	5.121022902
36	5.028920023
37	4.971757249
38	4.907851289
39	4.830426759
40	4.781097191
41	4.725135339
42	4.67712319
43	4.622926562
44	4.569535273
45	4.540714372
46	4.501407934
47	4.469035864
48	4.437104283
49	4.413174781
50	4.370803552
51	4.33990263
52	4.302980079
53	4.258681932
54	4.235983373
55	4.204199158
56	4.18355264
57	4.156706873
58	4.133800606
59	4.106785911
60	4.080926681
61	4.056144991
62	4.045742671
63	4.013218806
64	3.984669709
65	3.966355506
66	3.944729642
67	3.926618434
68	3.903549753
69	3.878151249
70	3.865775253
71	3.846329466
72	3.822822054
73	3.808070984
74	3.801198516
75	3.780910155
76	3.775102974
77	3.762254524
78	3.741988685
79	3.724710689
80	3.709067763
81	3.695184238
82	3.687146717
83	3.662156987
84	3.619250627
85	3.598576947
86	3.566492701
87	3.528368229
88	3.512404254
89	3.496042321
90	3.480890154
91	3.46139736
92	3.430799018
93	3.419527159
94	3.393262985
95	3.372445671
96	3.359487952
97	3.335946313
98	3.322132797
99	3.309282349
