iter	Passed	Remaining
0	1	100
1	1	92
2	2	92
3	3	83
4	4	76
5	4	71
6	5	66
7	5	66
8	6	64
9	7	63
10	7	61
11	8	63
12	9	61
13	9	60
14	10	58
15	10	57
16	11	55
17	11	54
18	12	55
19	13	54
20	14	53
21	14	52
22	15	51
23	15	50
24	16	49
25	17	48
26	17	48
27	18	47
28	18	46
29	19	45
30	20	44
31	20	43
32	21	43
33	21	41
34	22	41
35	22	40
36	23	39
37	24	39
38	24	38
39	25	37
40	25	36
41	25	35
42	26	35
43	26	34
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	33	25
57	34	25
58	35	24
59	35	23
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	39	19
67	40	19
68	40	18
69	41	17
70	42	17
71	42	16
72	44	16
73	44	15
74	45	15
75	46	14
76	46	13
77	47	13
78	47	12
79	48	12
80	49	11
81	50	10
82	50	10
83	52	9
84	52	9
85	53	8
86	53	8
87	54	7
88	56	6
89	56	6
90	57	5
91	58	5
92	59	4
93	59	3
94	60	3
95	60	2
96	61	1
97	62	1
98	62	0
99	63	0
