iter	Passed	Remaining
0	49	49296
1	49	24811
2	50	16655
3	50	12552
4	50	10089
5	51	8451
6	51	7277
7	51	6406
8	52	5734
9	52	5196
10	52	4746
11	53	4370
12	53	4056
13	53	3786
14	54	3555
15	54	3352
16	54	3172
17	55	3015
18	55	2868
19	55	2735
20	56	2613
21	56	2505
22	56	2405
23	56	2315
24	57	2231
25	57	2155
26	57	2084
27	58	2022
28	58	1965
29	59	1907
30	59	1855
31	59	1807
32	60	1761
33	60	1716
34	60	1674
35	61	1635
36	61	1597
37	61	1561
38	61	1526
39	62	1492
40	62	1461
41	62	1431
42	63	1402
43	63	1374
44	63	1348
45	63	1323
46	64	1299
47	64	1279
48	64	1259
49	65	1240
50	65	1220
51	65	1202
52	66	1184
53	66	1166
54	66	1150
55	67	1133
56	67	1118
57	67	1103
58	68	1087
59	68	1072
60	68	1059
61	69	1045
62	69	1031
63	69	1018
64	69	1005
65	70	994
66	70	982
67	70	972
68	71	961
69	71	952
70	71	942
71	72	931
72	72	921
73	72	912
74	73	903
75	73	894
76	73	885
77	74	877
78	74	868
79	74	860
80	75	851
81	75	843
82	75	833
83	75	825
84	75	817
85	76	810
86	76	803
87	77	798
88	77	793
89	78	789
90	78	782
91	78	776
92	78	770
93	79	764
94	79	758
95	79	753
96	80	747
97	80	742
98	80	736
99	81	730
100	81	724
101	81	718
102	81	713
103	82	707
104	82	702
105	82	697
106	82	692
107	83	687
108	83	683
109	83	679
110	84	675
111	84	672
112	85	667
113	85	663
114	85	659
115	86	655
116	86	651
117	86	648
118	87	644
119	87	640
120	87	635
121	87	631
122	87	627
123	88	623
124	88	619
125	88	615
126	89	612
127	89	608
128	89	605
129	90	602
130	90	599
131	90	597
132	91	594
133	91	591
134	91	588
135	92	585
136	92	582
137	92	579
138	93	576
139	93	573
140	93	570
141	93	566
142	93	563
143	94	560
144	94	557
145	94	554
146	95	551
147	95	548
148	95	545
149	95	543
150	96	540
151	96	538
152	96	536
153	97	534
154	97	532
155	97	529
156	98	527
157	98	524
158	98	522
159	99	520
160	99	517
161	99	515
162	99	512
163	100	510
164	100	507
165	100	505
166	100	503
167	101	501
168	101	498
169	101	496
170	102	494
171	102	492
172	102	491
173	103	489
174	103	487
175	103	485
176	104	484
177	104	482
178	104	480
179	105	479
180	105	477
181	105	475
182	106	473
183	106	471
184	106	469
185	106	467
186	107	465
187	107	463
188	107	462
189	107	460
190	108	458
191	108	456
192	108	455
193	109	453
194	109	452
195	109	450
196	110	449
197	110	448
198	110	446
199	111	444
200	111	443
201	111	441
202	112	440
203	112	439
204	112	438
205	113	436
206	113	434
207	113	433
208	114	431
209	114	430
210	114	428
211	115	427
212	115	426
213	115	425
214	116	424
215	116	422
216	116	421
217	117	420
218	117	418
219	117	417
220	118	416
221	118	414
222	118	413
223	119	412
224	119	411
225	119	409
226	119	408
227	120	406
228	120	405
229	120	404
230	121	402
231	121	401
232	121	400
233	122	399
234	122	399
235	123	398
236	123	397
237	123	395
238	123	394
239	124	393
240	124	392
241	124	391
242	125	390
243	125	389
244	125	388
245	126	386
246	126	385
247	126	384
248	126	382
249	127	381
250	127	380
251	127	379
252	128	379
253	128	378
254	129	377
255	129	376
256	129	375
257	130	374
258	130	373
259	130	372
260	131	371
261	131	370
262	131	369
263	132	368
264	132	366
265	132	365
266	132	364
267	133	363
268	133	362
269	133	361
270	133	360
271	134	358
272	134	357
273	134	357
274	135	356
275	135	355
276	135	354
277	136	353
278	136	352
279	136	351
280	137	350
281	137	349
282	137	348
283	137	347
284	138	346
285	138	345
286	138	344
287	139	343
288	139	342
289	139	341
290	139	340
291	140	339
292	140	338
293	140	337
294	140	336
295	141	336
296	141	335
297	142	335
298	142	334
299	142	333
300	143	332
301	143	331
302	143	330
303	144	329
304	144	329
305	144	328
